Country of domicile,ISO-3,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Distance,Population,Students normalised
India,IND,2014,75,5116.62910485036,25.4321308135986,,,0.616,6747,1295600768.0,0.00000155449120573538
India,IND,2015,95,5464.39405731664,26.7689895629883,,,0.624,6747,1310152392.0,0.00000153798902502023
India,IND,2016,105,5851.3948804932,26.8292198181152,,,0.630,6747,1324517250.0,0.00000152206398217917
India,IND,2017,120,6182.92210857473,27.4421291351318,,,0.64,6747,1338676779.0,0.00000150671172581832
India,IND,2018,130,6518.84505546914,28.0605506896973,,,0.642,6747,1352642283.0,0.00000149189480867352
India,IND,2019,145,6713.93221110733,28.5729007720947,,,0.645,6747,1366417756.0,0.00000147758618558232
Indonesia,IDN,2014,25,9801.16628336906,30.8957595825195,15.05278,39.4,0.690,11683,255128076.0,0.0000078940743471918
Indonesia,IDN,2015,35,10149.6038700252,33.2507209777832,15.80023,39.7,0.695,11683,258383257.0,0.00000779849291860269
Indonesia,IDN,2016,35,10531.1109693569,35.4373588562012,,38.6,0.703,11683,261556386.0,0.00000770770704868204
Indonesia,IDN,2017,40,10935.6317158256,36.4444389343262,,38.1,0.707,11683,264650969.0,0.00000762135883205476
Indonesia,IDN,2018,45,11371.7255560847,36.3110389709473,,37.8,0.712,11683,267670549.0,0.00000753911854531295
Indonesia,IDN,2019,55,11811.9755589147,,,38.2,0.718,11683,270625567.0,0.00000746049245228925
Iran,IRN,2014,15,13038.5550641113,,,,0.774,4422,77465769,0.0000259985800954225
Iran,IRN,2015,25,12698.1091975659,,,,0.774,4422,78492208,0.0000256713379753567
Iran,IRN,2016,25,14205.2116338951,,,,0.784,4422,79563991,0.0000253380954708519
Iran,IRN,2017,25,14535.8735778483,,,,0.787,4422,80673888,0.0000250018940453198
Iran,IRN,2018,30,13471.8606376875,,,,0.785,4422,81800204,0.0000246698651264977
Iran,IRN,2019,30,12389.2233504388,,,,0.783,4422,82913893,0.0000243505633006522
Ireland,IRL,2014,10,58267.4122658082,73.813232421875,20.84728,31.9,0.928,496,4657740.0,0.000432398545217208
Ireland,IRL,2015,10,72251.1535363159,77.2321472167969,23.3454,31.8,0.935,496,4701957.0,0.000428544965426098
Ireland,IRL,2016,15,72864.4891443774,77.5571365356445,19.58165,32.8,0.943,496,4755335.0,0.00042394489557518
Ireland,IRL,2017,10,78655.6261932149,77.7806167602539,,31.4,0.947,496,4807388.0,0.000419562556631585
Ireland,IRL,2018,15,84303.3408922937,77.2828826904297,,,0.951,496,4867316.0,0.000414602216087881
Ireland,IRL,2019,15,87786.1569266174,75.1799392700195,,,0.955,496,4934340.0,0.000409173263293571
Israel,ISR,2014,10,37474.8491839878,66.9425201416016,15.06281,39.8,0.909,3525,8215700.0,0.00024514040191341
Israel,ISR,2015,5,37554.5986562961,65.4868927001953,16.23448,,0.910,3525,8380100.0,0.000240450591281727
Israel,ISR,2016,10,38234.7244825066,64.9001998901367,15.15743,39.0,0.913,3525,8546000.0,0.000235899836180669
Israel,ISR,2017,10,38833.9734252986,63.3546905517578,,,0.913,3525,8713300.0,0.000231485200785007
Israel,ISR,2018,10,39418.3453068224,61.4768714904785,,,0.916,3525,8882800.0,0.000227180618723826
Israel,ISR,2019,10,40007.3191584114,60.3251991271973,,,0.919,3525,9054000.0,0.000222995361166335
Italy,ITA,2014,145,39898.5264609826,61.702751159668,19.58569,34.7,0.882,1464,60789140.0,0.0000331309177922241
Italy,ITA,2015,165,40247.8290437942,60.9394607543945,18.59916,35.4,0.882,1464,60730582.0,0.0000331793296497636
Italy,ITA,2016,215,40837.7376281437,60.937328338623,19.11673,35.2,0.884,1464,60627498.0,0.0000332522381180896
Italy,ITA,2017,260,41581.120790548,61.9329986572266,,35.9,0.886,1464,60536709.0,0.0000333186265543441
Italy,ITA,2018,275,42052.5563822519,64.291618347168,,,0.89,1464,60421760.0,0.0000333985636962578
Italy,ITA,2019,270,42662.5223699096,66.0515975952148,,,0.892,1464,59729081.0,0.0000338026295767049
Jamaica,JAM,2016,5,9553.09619583089,,18.22901,,0.731,7555,2906242.0,0.000693679328837722
Japan,JPN,2014,50,39255.278446443,,20.76276,,0.906,9654,127276000.0,0.0000158238788145448
Japan,JPN,2015,40,39777.5310167672,,,,0.908,9654,127141000.0,0.0000158485461023588
Japan,JPN,2016,45,40031.270764058,63.5844383239746,19.79765,,0.912,9654,126994511.0,0.0000158747018601458
Japan,JPN,2017,60,40966.5932189946,63.8070411682129,,,0.915,9654,126785797.0,0.0000159087220156056
Japan,JPN,2018,60,41182.3802046593,64.1038436889648,,,0.917,9654,126529100.0,0.0000159489002925019
Japan,JPN,2019,70,41380.0935773113,,,,0.919,9654,126264931.0,0.0000159901881227813
Jordan,JOR,2014,15,10284.6700959691,,,,0.729,3674,8918822.0,0.000225814575063837
Jordan,JOR,2015,15,10145.8366996846,36.6310005187988,,,0.730,3674,9266573.0,0.000217448241113516
Jordan,JOR,2016,10,10036.5436154339,35.5839309692383,19.93532,,0.729,3674,9554286.0,0.000211004778379044
Jordan,JOR,2017,10,10003.5749827297,31.1404094696045,18.53475,,0.726,3674,9785840.0,0.000206114140431481
Jordan,JOR,2018,10,10013.3976633388,34.4153213500977,22.74788,,0.728,3674,9965322.0,0.000202502237258365
Jordan,JOR,2019,15,10071.379888314,33.0608711242676,,,0.729,3674,10101697.0,0.000199867408416625
Kazakhstan,KAZ,2014,20,24355.7561188887,48.8043212890625,,27.0,0.798,5628,17288285.0,0.00011649507166269
Kazakhstan,KAZ,2015,25,24290.4176339265,46.3735084533691,15.25645,26.8,0.806,5628,17542806.0,0.000114861898375893
